timestamp,timestamp_absolute,timestamp_iso,cpu_cycles,instructions,cache_references,cache_misses,branches,branch_misses,page_faults,context_switches,cpu_utilization,cpu_user_time,cpu_system_time,cpu_nice_time,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_idle,memory_usage_percent,memory_available_gb,disk_io_read_mb,disk_io_write_mb,network_bytes_sent,network_bytes_recv,process_count,load_average_1min,load_average_5min,load_average_15min,instructions_per_cycle,cache_miss_ratio,branch_miss_ratio,cpu_efficiency,sys_cpu_user_seconds,sys_cpu_system_seconds,sys_cpu_total_seconds,sys_context_switches,sys_processes_created,sys_procs_running,sys_procs_blocked,collection_interval,time_delta_seconds,vm_hostname,core_count
0.0,1757535467.0404737,2025-09-10T16:17:46.038224,0,0,0,0,0,0,0,0,56.999999999975934,56.49999999997609,0.0,0.0,0.0,0.4999999999998419,0.0,0.0,43.000000000024066,25.2,8.886333465576172,0.0,0.0,0,0,330,3.91552734375,2.7470703125,1.595703125,0.0,0.0,0.0,0.5649999999997609,2.26,0.0,2.26,236,0,3,0,1.0,1.0003457069396973,fedora,4
1.0,1757535468.043746,2025-09-10T16:17:47.038224,0,0,0,0,0,0,0,0,55.13784461154265,54.385964912294504,0.0,0.0,0.0,0.501253132832269,0.0,0.2506265664158674,44.86215538845735,25.2,8.886333465576172,0.0,0.0,0,52,330,3.91552734375,2.7470703125,1.595703125,0.0,0.0,0.0,0.543859649122945,2.17,0.0,2.17,188,0,4,0,1.0,1.0001301765441895,fedora,4
2.0,1757535469.046307,2025-09-10T16:17:48.038224,0,0,0,0,0,0,0,0,55.49999999999209,54.2499999999915,0.25000000000043565,0.0,0.0,0.4999999999999831,0.0,0.5000000000001608,44.50000000000791,25.2,8.886333465576172,0.0,0.0,0,73,330,3.91552734375,2.7470703125,1.595703125,0.0,0.0,0.0,0.5449999999999193,2.17,0.01,2.1799999999999997,260,0,2,0,1.0,1.0002171993255615,fedora,4
3.0,1757535470.0495756,2025-09-10T16:17:49.038224,0,0,0,0,0,0,0,0,57.00000000000674,56.00000000000708,0.24999999999982858,0.0,0.0,0.5000000000000124,0.0,0.24999999999982858,42.99999999999326,25.2,8.886333465576172,0.0,0.0,0,125,330,3.841796875,2.75146484375,1.603515625,0.0,0.0,0.0,0.5625000000000691,2.24,0.01,2.25,215,0,3,0,1.0,1.0000824928283691,fedora,4
4.0,1757535471.051967,2025-09-10T16:17:50.038224,0,0,0,0,0,0,0,0,55.889724310766624,55.63909774435061,0.0,0.0,0.0,0.25062656641601777,0.0,0.0,44.110275689233376,25.2,8.886333465576172,0.0,0.0,0,0,330,3.841796875,2.75146484375,1.603515625,0.0,0.0,0.0,0.5563909774435061,2.22,0.0,2.22,168,0,4,0,1.0,1.000093936920166,fedora,4
5.0,1757535472.0543132,2025-09-10T16:17:51.038224,0,0,0,0,0,0,0,0,54.86284289277596,54.11471321696521,0.0,0.0,0.0,0.49875311720711374,0.0,0.2493765586036455,45.13715710722404,25.2,8.886333465576172,0.0,0.0,0,52,330,3.841796875,2.75146484375,1.603515625,0.0,0.0,0.0,0.541147132169652,2.17,0.0,2.17,175,0,5,0,1.0,1.0001139640808105,fedora,4
6.0,1757535473.057557,2025-09-10T16:17:52.038224,0,0,0,0,0,0,0,0,56.1097256857853,55.361596009974846,0.0,0.0,0.0,0.49875311720700133,0.24937655860345637,0.0,43.8902743142147,25.2,8.886333465576172,0.0,0.0,0,0,330,3.841796875,2.75146484375,1.603515625,0.0,0.0,0.0,0.5536159600997484,2.22,0.01,2.23,188,0,3,0,1.0,1.0001194477081299,fedora,4
7.0,1757535474.0599928,2025-09-10T16:17:53.038224,0,0,0,0,0,0,0,0,56.24999999999798,54.999999999997996,0.0,0.0,0.0,0.4999999999999236,0.0,0.7500000000000631,43.75000000000202,25.2,8.886333465576172,0.0,0.03125,132,413,330,3.841796875,2.75146484375,1.603515625,0.0,0.0,0.0,0.54999999999998,2.2,0.0,2.2,201,0,4,0,1.0,1.0001039505004883,fedora,4
8.0,1757535475.0640173,2025-09-10T16:17:54.038224,0,0,0,0,0,0,0,0,56.71641791044634,55.47263681591832,0.24875621890599278,0.0,0.0,0.4975124378111018,0.0,0.4975124378109251,43.28358208955366,25.2,8.886333465576172,0.0,0.0,66,298,330,3.77392578125,2.755859375,1.611328125,0.0,0.0,0.0,0.5572139303482432,2.23,0.01,2.2399999999999998,203,0,3,0,1.0,1.0001192092895508,fedora,4
9.0,1757535476.067509,2025-09-10T16:17:55.038224,0,0,0,0,0,0,0,0,59.798994974871015,56.783919597987264,2.5125628140698475,0.0,0.0,0.5025125628138981,0.0,0.0,40.201005025128985,25.2,8.879936218261719,0.0,0.0,0,218,335,3.77392578125,2.755859375,1.611328125,0.0,0.0,0.0,0.592964824120571,2.27,0.1,2.37,411,12,1,0,1.0,1.000154733657837,fedora,4
10.0,1757535477.0703907,2025-09-10T16:17:56.038224,0,0,0,0,0,0,0,0,52.750000000010544,49.250000000010544,2.7499999999998637,0.0,0.0,0.5000000000001206,0.2500000000000159,0.0,47.249999999989456,25.3,8.872486114501953,0.0,0.0,0,0,335,3.77392578125,2.755859375,1.611328125,0.0,0.0,0.0,0.520000000000104,1.97,0.11,2.08,511,12,1,0,1.0,1.0002210140228271,fedora,4
